,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,description,,,,,,,,,,,,,
AT2G34500,30.70186687,1.602395122,0.311581104,5.142786583,2.71E-07,7.72E-05,Encodes a protein with C22-sterol desaturase activity. The enzyme was shown to catalyze in the presence of NADPH the conversion of &beta;-sitosterol to stigmasterol, but not that of 24-<i>epi</i>-campesterol to brassicasterol (unlike CYP710A2).,,,,,,,,,,,,
AT1G51800,63.25748481,-1.098188028,0.215401742,-5.098324718,3.43E-07,9.50E-05,The gene encodes a putative member of  the LRR-RLK protein family. Expressin and mutant analysis revealed that it contributes to the interaction between Arabidopsis and Hyaloperonospora arabidopsidis.  and The mRNA is cell-to-cell mobile.,,,,,,,,,,,,,
AT2G26440,37.17708329,-1.608029611,0.315813462,-5.09170698,3.55E-07,9.69E-05,Plant invertase/pectin methylesterase inhibitor superfamily;(source:Araport11),,,,,,,,,,,,,
AT2G19060,28.62148013,1.564057064,0.308431312,5.07100609,3.96E-07,0.000103855,SGNH hydrolase-type esterase superfamily protein;(source:Araport11),,,,,,,,,,,,,
AT5G19890,19.4021731,-2.564364616,0.511515806,-5.013265648,5.35E-07,0.000136425,Peroxidase superfamily protein;(source:Araport11),,,,,,,,,,,,,
AT2G39210,92.59499963,-1.032249985,0.206878945,-4.989632875,6.05E-07,0.000152191,Major facilitator superfamily transmembrane transporter responsible for the uptake of picolinate herbicides.,,,,,,,,,,,,,
AT3G50480,150.5682707,-1.2401628,0.248731472,-4.985950472,6.17E-07,0.000153104,Homolog of RPW8,,,,,,,,,,,,,
AT1G73220,8.99277346,2.686007099,0.543238957,4.944430191,7.64E-07,0.000184827,Encodes Organic Cation Transporter 1 (OCT1), likely to be involved in polyamine transport.,,,,,,,,,,,,
AT5G57530,28.34020645,-2.175989662,0.440868712,-4.935686296,7.99E-07,0.000190888,xyloglucan endotransglucosylase/hydrolase 12;(source:Araport11),,,,,,,,,,,,,
AT4G11890,15.96944285,-3.789301639,0.770398248,-4.918627018,8.72E-07,0.000205725,Encodes a receptor-like cytosolic kinase ARCK1. Negatively controls abscisic acid and osmotic stress signal transduction.,,,,,,,,,,,,,
AT5G10760,23.33117662,-2.691814718,0.553335266,-4.864708399,1.15E-06,0.00025784,Eukaryotic aspartyl protease family protein;(source:Araport11),,,,,,,,,,,,,
AT1G55990,24.5442935,1.565960948,0.323945175,4.834030775,1.34E-06,0.000294043,glycine-rich protein;(source:Araport11),,,,,,,,,,,,,
AT4G23700,26.86681017,1.526065306,0.31614564,4.827095855,1.39E-06,0.000301006,member of Putative Na+/H+ antiporter family,,,,,,,,,,,,,
AT5G48000,18.6158708,1.778113771,0.370618077,4.797698438,1.60E-06,0.000344803,Encodes a member of the CYP708A family of cytochrome P450 enzymes. THAH appears to add a hydroxyl group to the triterpene thalianol. thah1 mutants have an elevated accumulation of thalianol. thah1-1 mutants have longer roots than wild type plants. Thalian-diol and desaturated thalian-diol are lost from the root extracts of thah1-1 mutants. Overexpression of the sequence from At5g48000.1 rescues the thah1-1 mutant phenotype (Field 2008); it is unknown whether the shorter sequences associated with other gene models would provide functional complementation.,,,,,,,,,,,,,
AT1G15125,93.68685544,-1.040807447,0.217969822,-4.775007092,1.80E-06,0.000381765,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein;(source:Araport11),,,,,,,,,,,,,
AT5G02230,41.51577842,1.127829305,0.237110425,4.756557222,1.97E-06,0.000413754,Haloacid dehalogenase-like hydrolase (HAD) superfamily protein;(source:Araport11),,,,,,,,,,,,,
AT3G45060,90.03582896,-1.402792029,0.296146044,-4.736825152,2.17E-06,0.000441575,member of High affinity nitrate transporter family,,,,,,,,,,,,,
AT5G10230,15.26126046,1.767284851,0.375394885,4.707802165,2.50E-06,0.000503967,Encodes a calcium-binding protein annexin (AnnAt7).,,,,,,,,,,,,,
AT1G17180,34.57763163,1.315957063,0.280500362,4.691462973,2.71E-06,0.000540256,Encodes glutathione transferase belonging to the tau class of GSTs. Naming convention according to Wagner et al. (2002).  Detoxification of the environmental pollutant 2,4,6-trinitrotoluene. Arabidopsis plant over-expressing At1g17180 were more resistant to TNT, removed more TNT from sterile and soil-based media, and had reduced levels of glutathione when grown in the presence of TNT.,,,,,,,,,
AT5G42800,43.7642496,-1.661579932,0.354790261,-4.6832738,2.82E-06,0.000554901,dihydroflavonol reductase. Catalyzes the conversion of dihydroquercetin to leucocyanidin in the biosynthesis of anthocyanins. Not expressed in roots (qRT-PCR). The mRNA is cell-to-cell mobile.,,,,,,,,,,,,,
AT1G48260,25.73619498,1.341668672,0.294235335,4.55984891,5.12E-06,0.000978761,Encodes a member of the SNF1-related kinase (SnRK) gene family (SnRK3.21), which has also been reported as a member of the CBL-interacting protein kinases (CIPK17).,,,,,,,,,,,,
AT5G04950,40.92910825,1.156755359,0.253625819,4.560873822,5.09E-06,0.000978761,Encodes a nicotianamide synthase.,,,,,,,,,,,,,
AT3G55230,67.12684095,1.026288029,0.225277807,4.555655271,5.22E-06,0.000988609,Disease resistance-responsive (dirigent-like protein) family protein;(source:Araport11),,,,,,,,,,,,,
AT1G33790,74.43062882,-1.067092792,0.235518317,-4.530827182,5.88E-06,0.001069868,jacalin lectin family protein;(source:Araport11),,,,,,,,,,,,,
AT4G25220,12.27787107,-3.713554497,0.821789474,-4.518863549,6.22E-06,0.00112145,Encodes a member of the phosphate starvation-induced glycerol-3-phosphate permease gene family: AT3G47420(G3Pp1), AT4G25220(G3Pp2), AT1G30560(G3Pp3), AT4G17550(G3Pp4) and AT2G13100(G3Pp5).,,,,,,,,,,
AT2G41810,72.73626589,-1.072762333,0.238475157,-4.498423843,6.85E-06,0.00121198,imidazolonepropionase (Protein of unknown function, DUF642);(source:Araport11),,,,,,,,,,,,
AT1G29395,39.25335353,1.178945242,0.262370724,4.493432891,7.01E-06,0.001229365,Integral membrane protein in the inner  envelope of chloroplasts. Provide  freezing tolerance. Expression is induced by short-term cold-treatment, water deprivation, and abscisic acid treatment.  involved in response to salt tolerance,,,,,,,,,,,
AT2G26560,68.38137604,-1.091746189,0.243191733,-4.489240544,7.15E-06,0.00124241,Encodes a lipid acyl hydrolase with wide substrate  specificity that accumulates upon infection by fungal  and bacterial pathogens. Protein is localized in the cytoplasm in healthy leaves, and in membranes in infected cells. Plays a role in cell death and differentially affects the accumulation of oxylipins. Contributes to resistance to virus.,,,,,,,,,,,,
AT4G28850,13.01514359,-4.872947282,1.086658728,-4.484340076,7.31E-06,0.001259852,xyloglucan endotransglucosylase/hydrolase 26;(source:Araport11),,,,,,,,,,,,,
AT5G35190,134.246933,-1.683815094,0.375993768,-4.478305855,7.52E-06,0.001284416,proline-rich extensin-like family protein;(source:Araport11),,,,,,,,,,,,,
AT3G24020,39.54845212,1.183647858,0.26718303,4.430101195,9.42E-06,0.001579729,Disease resistance-responsive (dirigent-like protein) family protein;(source:Araport11),,,,,,,,,,,,,
AT2G48140,51.22049249,1.087069097,0.248092455,4.381709625,1.18E-05,0.001908355,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein;(source:Araport11),,,,,,,,,,,,,
AT1G33960,22.56646689,-2.284278191,0.522580611,-4.371149907,1.24E-05,0.001985811,Identified as a gene that is induced by avirulence gene avrRpt2 and RPS2 after infection with Pseudomonas syringae pv maculicola strain ES4326 carrying avrRpt2,,,,,,,,,,,,,
AT2G18690,67.81186799,-1.28020872,0.293185361,-4.366550616,1.26E-05,0.00201117,transmembrane protein;(source:Araport11),,,,,,,,,,,,,
AT4G36610,25.25821608,1.248659763,0.291802366,4.279128301,1.88E-05,0.002916604,alpha/beta-Hydrolases superfamily protein;(source:Araport11),,,,,,,,,,,,,
AT5G55450,18.47536625,-1.97112004,0.463372299,-4.253858173,2.10E-05,0.003188464,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein;(source:Araport11),,,,,,,,,,,,,
AT5G23190,22.11491272,1.355223836,0.319141064,4.246472758,2.17E-05,0.003255286,cytochrome P450 CYP86B1, nuclear gene for chloroplast product.  CYP86B1 is a very long chain fatty acid hydroxylase specifically involved in polyester monomer biosynthesis during the course of plant development.,,,,,,,,,,,,
AT2G20520,10.82949515,-2.922481236,0.695175446,-4.20394773,2.62E-05,0.003887726,fasciclin-like arabinogalactan-protein 6 (Fla6). Possibly involved in embryogenesis and seed development.,,,,,,,,,,,,,
AT1G26420,14.04360032,-2.345282922,0.563326895,-4.163271702,3.14E-05,0.004544182,FAD-binding Berberine family protein;(source:Araport11),,,,,,,,,,,,,
AT4G15230,39.62188368,1.05446308,0.253522949,4.159241145,3.19E-05,0.004571408,pleiotropic drug resistance 2;(source:Araport11),,,,,,,,,,,,,
AT4G02270,68.21218211,-1.105603249,0.266440495,-4.149531581,3.33E-05,0.004718481,root hair specific 13;(source:Araport11),,,,,,,,,,,,,
AT1G58320,24.45923541,1.346412185,0.324822163,4.145074866,3.40E-05,0.00477582,PLAC8 family protein;(source:Araport11),,,,,,,,,,,,,
AT1G33610,38.9328623,-1.138824895,0.279746241,-4.070921167,4.68E-05,0.006395312,Leucine-rich repeat (LRR) family protein;(source:Araport11),,,,,,,,,,,,,
AT2G43620,26.07829312,-3.031064888,0.752002302,-4.030659055,5.56E-05,0.007334257,Chitinase family protein;(source:Araport11),,,,,,,,,,,,,
AT5G18840,36.76992667,1.033627873,0.259881056,3.977311355,6.97E-05,0.009065595,Major facilitator superfamily protein;(source:Araport11),,,,,,,,,,,,,
AT2G15220,32.59557961,1.110225269,0.280175911,3.962600728,7.41E-05,0.00951351,Plant basic secretory protein (BSP) family protein;(source:Araport11),,,,,,,,,,,,,
AT5G42590,7.591756713,2.249756995,0.568207684,3.959392066,7.51E-05,0.009577947,putative cytochrome P450,,,,,,,,,,,,,
AT3G10710,27.98249466,-1.450138248,0.36765627,-3.944277211,8.00E-05,0.010134996,root hair specific 12;(source:Araport11),,,,,,,,,,,,,
AT1G68850,23.64148342,1.160553863,0.298018648,3.89423236,9.85E-05,0.012151708,Peroxidase superfamily protein;(source:Araport11),,,,,,,,,,,,,
AT1G29450,11.82982858,1.732857638,0.445694533,3.887993933,0.000101076,0.012309402,SAUR-like auxin-responsive protein family;(source:Araport11),,,,,,,,,,,,,
AT4G08620,14.17315742,-2.076836819,0.534625041,-3.884660571,0.000102473,0.012400524,Encodes a high-af?nity sulfate transporter. Contains STAS domain. Expressed in roots and guard cells. Up-regulated by sulfur deficiency.,,,,,,,,,,,,,
AT2G03260,16.65043416,-1.964327587,0.506060608,-3.881605396,0.000103769,0.012478405,EXS (ERD1/XPR1/SYG1) family protein;(source:Araport11),,,,,,,,,,,,,
AT5G63650,20.10243031,-1.482516886,0.385494774,-3.845750934,0.000120184,0.014272759,encodes a member of SNF1-related protein kinases (SnRK2) whose activity is activated by ionic (salt) and non-ionic (mannitol) osmotic stress.,,,,,,,,,,,,,
AT2G01890,23.58438739,1.250555909,0.325504421,3.841901455,0.000122085,0.014409027,Encodes a purple acid phosphatase (PAP) belonging to the low molecular weight plant PAP group.,,,,,,,,,,,,,
AT2G32680,22.4768873,-3.249132746,0.846803765,-3.836937059,0.000124578,0.014613121,NLP20 LRR receptor protein involved in PAMP mediated immunity.,,,,,,,,,,,,,
AT5G44568,25.64381574,-1.782290236,0.467588646,-3.811662774,0.000138035,0.015995341,Secreted peptide which functions in plant growth and pathogen defense.,,,,,,,,,,,,,
AT4G20450,8.576695359,-3.165764228,0.831461263,-3.807470495,0.000140395,0.016170853,Leucine-rich repeat protein kinase family protein;(source:Araport11),,,,,,,,,,,,,
AT1G65570,5.748085065,2.63193417,0.692205097,3.802246156,0.00014339,0.016319165,Encodes a glycosyl hydrolase 28 (GH28) family polygalacturonase (PG) protein. Involved in root cap development.,,,,,,,,,,,,,
AT5G57540,9.832395876,-2.769123593,0.728604976,-3.800582874,0.000144356,0.016331889,Encodes a xyloglucan endotransglucosylase/hydrolase with only only the endotransglucosylase (XET; EC   2.4.1.207) activity towards xyloglucan and non-detectable endohydrolytic (XEH; EC 3.2.1.151) activity.,,,,,,,,,,,,,
AT2G32270,28.21142077,-1.459687666,0.384233257,-3.798962318,0.000145303,0.016342334,A member of Zrt- and Irt-related protein (ZIP) family.  transcript is induced in response to zinc deficiency in the root. also response to iron deficiency.,,,,,,,,,,,,,
AT1G51820,8.942869593,-2.890324325,0.761155228,-3.797286306,0.000146289,0.016356969,Leucine-rich repeat protein kinase family protein;(source:Araport11),,,,,,,,,,,,,
AT4G28940,26.55506712,1.089380023,0.288616828,3.774485464,0.000160338,0.017823648,Phosphorylase superfamily protein;(source:Araport11),,,,,,,,,,,,,
AT4G23810,18.75609443,-1.610629388,0.427344303,-3.768926776,0.000163951,0.018119899,member of WRKY Transcription Factor; Group III,,,,,,,,,,,,,
AT1G53830,24.54030443,1.205595565,0.320672791,3.75958172,0.000170198,0.018440647,encodes a pectin methylesterase,,,,,,,,,,,,,
AT5G05500,39.3469576,-1.023545251,0.272082974,-3.761886435,0.000168637,0.018440647,Encodes Proline-rich protein-like PRPL1, controls elongation of root hairs.,,,,,,,,,,,,
AT5G09520,14.37309912,1.475530809,0.392698055,3.757418174,0.000171675,0.018440647,hydroxyproline-rich glycoprotein family protein;(source:Araport11),,,,,,,,,,,,,
AT5G40590,22.29309313,-1.374156381,0.365399162,-3.760699317,0.000169439,0.018440647,Cysteine/Histidine-rich C1 domain family protein;(source:Araport11),,,,,,,,,,,,,
AT1G04220,30.56317691,1.030412812,0.275617714,3.738558009,0.000185079,0.01965948,Encodes KCS2, a member of the 3-ketoacyl-CoA synthase family involved in the biosynthesis of VLCFA (very long chain fatty acids).,,,,,,,,,,,,
